AD,8|8|8
AT,5|5|5
BA,6|6|3
BE,3|3|3
BG,8|8|8
CH,5|5|5
CY,8|8|8
CZ,4|4|4
DE,8|8|8
DK,4|4|4
EE,2|2|2
ES,8|9|8
FI,6|6|3
FR,10|10|10
GB,10|10|10
GI,4|4|4
GR,7|7|7
HR,7|7|7
HU,7|8|7
IE,10|10|10
IS,4|4|4
IT,10|10|10
LI,5|5|5
LT,5|5|5
LU,3|3|3
LV,4|4|4
ME,3|3|3
MK,3|3|3
MT,9|9|9
MU,8|8|8
NL,4|4|4
NO,4|4|4
PL,8|8|8
PT,8|8|4
RO,4|4|4
RS,3|3|3
SE,3|3|3
SI,5|5|2
SK,4|4|4
TN,2|2|2
TR,5|5|5
XK,4|4|4
BR,8|8|8
IL,6|6|6
AL,8|8|8
GF,10|10|10
PF,10|10|10
TF,10|10|10
GP,10|10|10
MQ,10|10|10
YT,10|10|10
MC,10|10|10
NC,10|10|10
RE,10|10|10
PM,10|10|10
SM,10|10|10
SA,2|2|2
WF,10|10|10
AE,3|3|3
GE,2|2|2
KZ,3|3|3
LB,4|4|4
MD,2|2|2
