AD,13|12
AE,8|16
AL,13|16
AT,10|11
AZ,9|20
BA,11|8
BE,8|7
BG,13|10
BH,9|14
BR,18|12
CH,10|12
CR,8|14
CY,13|16
CZ,9|16
DE,13|10
DK,9|10
DO,9|20
EE,9|14
ES,15|10
FI,11|7
FO,9|10
FR,15|11
GB,15|8
GE,7|16
GI,9|15
GL,9|10
GR,12|16
GT,9|20
HR,12|10
HU,13|15
IE,15|8
IL,11|13
IS,9|18
IT,16|12
JO,13|18
KW,9|22
KZ,8|13
LB,9|20
LC,9|24
LI,10|12
LT,10|11
LU,8|13
LV,9|13
MC,15|11
MD,7|18
ME,8|13
MK,8|10
MR,15|13
MT,14|18
MU,13|12
NC,15|11
NL,9|10
NO,9|6
PF,15|11
PK,9|16
PL,13|16
PM,15|11
PS,9|21
PT,13|11
QA,9|21
RO,9|16
RS,8|13
SA,7|18
SE,8|16
SI,10|8
SK,9|16
SM,16|12
ST,13|13
TF,15|11
