AD,5|8
AE,5|3
AL,5|8
AT,5|5
BA,5|6
BE,5|3
BG,5|8
BR,5|8
CH,5|5
CR,5|3
CS,5|3
CY,5|8
CZ,5|4
DE,5|8
DK,5|4
EE,5|2
ES,5|9
FI,5|6
FO,5|4
FR,5|10
GB,5|10
GE,5|2
GF,5|10
GI,5|4
GL,5|4
GP,5|10
GR,5|7
HR,5|7
HU,5|8
IE,5|10
IL,5|6
IS,5|4
IT,6|10
KZ,5|3
LB,5|4
LI,5|5
LT,5|5
LU,5|3
LV,5|4
MC,5|10
MD,5|2
ME,5|3
MK,5|3
MQ,5|10
MR,5|10
MT,5|9
MU,5|8
NC,5|10
NL,5|4
NO,5|4
PF,5|10
PL,5|8
PM,5|10
PT,5|8
RE,5|10
RO,5|4
RS,5|3
SA,5|2
SE,5|3
SI,5|5
SK,5|4
SM,6|10
ST,5|8
TF,5|10
TL,5|3
TN,5|2
TR,5|5
VA,6|10
WF,5|10
XK,5|4
YT,5|10
